Your Chat Text,Emotion Assessment Score
hello,2.6
hello,2.6
helloo,2.6
hello you,2.6
I feel very dejected today. I got a very low score in my math exam,1.5
"But when coming home (today has been really tough), my parents even depress me more",2.6666666666666665
their method coud be applied in my case. let me try,3.8
Oh I have tried on that method. Things start getting positive,3.8
I feel very dejected today. I got a very low score in my physic exam,2.6
it's kind of good. I gonna do sport today ,3.8
basketball haha,2.6
this is human,2.6666666666666665
Today I feel truly happy about my lige,3.8
Today I encountered a big problem but finally I overcome it. I pride on myself,3.8
"I am very busy with my work, quite depressed and always find myself inundated with work",2.6
OK thank you,2.6
